SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
NESTLEIND, EQ, 06-Aug-2021, 18208.75, 18200.00, 18208.00, 17980.00, 18057.90, 18020.65, 18026.49, 38374, 6917.49, 12803, 20964, 54.63
MARICO, EQ, 06-Aug-2021, 531.90, 532.00, 534.00, 522.50, 524.45, 524.35, 525.72, 3116628, 16384.71, 48068, 2114773, 67.85
BRITANNIA, EQ, 06-Aug-2021, 3611.15, 3611.15, 3620.00, 3590.10, 3606.00, 3604.00, 3601.50, 258380, 9305.55, 28013, 154546, 59.81
RELAXO, EQ, 06-Aug-2021, 1155.15, 1162.30, 1162.30, 1137.50, 1143.00, 1140.90, 1149.40, 111477, 1281.32, 12625, 63035, 56.55
HAVELLS, EQ, 06-Aug-2021, 1216.25, 1224.00, 1259.95, 1216.00, 1234.00, 1232.90, 1242.02, 2921992, 36291.73, 99053, 980594, 33.56
BERGEPAINT, EQ, 06-Aug-2021, 838.20, 838.00, 846.10, 817.65, 822.00, 827.80, 831.76, 1925089, 16012.14, 49288, 350697, 18.22
ASIANPAINT, EQ, 06-Aug-2021, 2988.40, 2995.00, 3001.00, 2961.45, 2971.00, 2966.45, 2975.82, 744159, 22144.83, 61481, 471184, 63.32
DMART, EQ, 06-Aug-2021, 3564.15, 3569.00, 3593.00, 3520.00, 3528.00, 3529.20, 3549.28, 128769, 4570.37, 15469, 59039, 45.85
CAMS, EQ, 06-Aug-2021, 3402.75, 3380.00, 3391.00, 3275.00, 3279.00, 3282.55, 3306.66, 209038, 6912.17, 26176, 116018, 55.50
INDIAMART, EQ, 06-Aug-2021, 7381.55, 7381.00, 7437.45, 7290.00, 7351.10, 7353.90, 7366.01, 25734, 1895.57, 6727, 13933, 54.14
PRINCEPIPE, EQ, 06-Aug-2021, 701.40, 612.00, 686.60, 612.00, 669.00, 665.20, 664.18, 1460952, 9703.30, 69291, 506583, 34.67
POLYCAB, EQ, 06-Aug-2021, 1819.15, 1823.50, 1843.00, 1799.10, 1813.50, 1811.30, 1820.69, 155490, 2830.98, 13619, 74043, 47.62
ASTRAL, EQ, 06-Aug-2021, 2190.10, 2219.00, 2268.05, 2160.00, 2248.20, 2245.25, 2229.44, 438370, 9773.21, 35916, 170608, 38.92
TRIDENT, EQ, 06-Aug-2021, 21.05, 20.75, 21.45, 20.00, 20.35, 20.35, 20.58, 26199569, 5392.02, 46020, 12888615, 49.19
URJA, EQ, 06-Aug-2021, 6.75, 6.85, 6.95, 6.75, 6.95, 6.85, 6.83, 2287087, 156.32, 5601, 1250382, 54.67
NAVINFLUOR, EQ, 06-Aug-2021, 3693.45, 3710.00, 3750.15, 3651.10, 3659.90, 3664.15, 3701.27, 203561, 7534.35, 16081, 36672, 18.02
DEEPAKNTR, EQ, 06-Aug-2021, 2108.05, 2118.40, 2152.50, 2111.00, 2120.00, 2120.45, 2130.86, 1289881, 27485.52, 51188, 231066, 17.91
ALKYLAMINE, EQ, 06-Aug-2021, 4206.70, 4218.00, 4275.00, 4150.00, 4253.10, 4259.75, 4256.06, 52151, 2219.58, 8325, 24521, 47.02
AARTIIND, EQ, 06-Aug-2021, 921.85, 927.00, 963.50, 926.10, 957.30, 956.25, 952.61, 2356798, 22451.17, 57696, 662150, 28.10
TATAPOWER, EQ, 06-Aug-2021, 134.55, 135.25, 136.80, 134.30, 135.30, 135.15, 135.74, 47743493, 64807.77, 160657, 7926666, 16.60
TATACHEM, EQ, 06-Aug-2021, 769.30, 807.85, 844.00, 802.70, 824.00, 823.65, 829.84, 23725308, 196881.97, 363806, 3518753, 14.83
TATAMOTORS, EQ, 06-Aug-2021, 299.70, 300.05, 303.40, 297.65, 300.20, 300.05, 300.96, 16001898, 48160.08, 141187, 3454661, 21.59
